Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
HMR_6557		m2722 + m3606  => m741 + m3631 	(ENSG00000054148) or (ENSG00000063601) or (ENSG00000087053) or (ENSG00000111077) or (ENSG00000111696) or (ENSG00000112367) or (ENSG00000117598) or (ENSG00000125458) or (ENSG00000126821) or (ENSG00000137770) or (ENSG00000139304) or (ENSG00000139505) or (ENSG00000144048) or (ENSG00000158079) or (ENSG00000160539) or (ENSG00000163719) or (ENSG00000165458) or (ENSG00000165688) or (ENSG00000198825) or (ENSG00000205309) or (ENSG00000205808) or (ENSG00000211456) or (ENSG00000213920)	0	 -0.00	1000.00	  0.00
HMR_6558		m2722 + m3606  => m3608 + m3631 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
HMR_6559		m2722 + m3609  => m398 + m2273 	(ENSG00000101333) or (ENSG00000114805) or (ENSG00000115556) or (ENSG00000115896) or (ENSG00000124181) or (ENSG00000137841) or (ENSG00000138193) or (ENSG00000154822) or (ENSG00000161714) or (ENSG00000187091) or (ENSG00000197943)	0	 -0.00	1000.00	  0.00
HMR_6560		m2273 + m2722  => m722 + m3631 	(ENSG00000068383) or (ENSG00000132376)	0	 -0.00	1000.00	  0.00
HMR_6561		m722 + m2722  => m726 + m3631 	(ENSG00000151689)	0	 -0.00	1000.00	  0.00
HMR_6562		m726 + m2722  => m2919 + m3631 	(ENSG00000104331) or (ENSG00000133731) or (ENSG00000141401)	0	 -0.00	1000.00	  0.00
HMR_6563		m1720 + m2273  => m715 + m1606 	(ENSG00000086544) or (ENSG00000137825) or (ENSG00000143772)	0	 -0.00	1000.00	  0.00
HMR_6564		m715 + m2722  => m2273 + m3631 	(ENSG00000107789)	0	 -0.00	1000.00	  0.00
HMR_6565		m715 + m2722  => m719 + m3631 	(ENSG00000068383) or (ENSG00000132376) or (ENSG00000168918)	0	 -0.00	1000.00	  0.00
HMR_6566		m719 + m1720  => m715 + m1606 	(ENSG00000100605)	0	 -0.00	1000.00	  0.00
HMR_6567		m719 + m1720  => m717 + m1606 	(ENSG00000100605)	0	 -0.00	1000.00	  0.00
HMR_6568		m717 + m1720  => m713 + m1606 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_6569		m719 + m2722  => m724 + m3631 	(ENSG00000151689)	0	 -0.00	1000.00	  0.00
HMR_6570		m724 + m2722  => m725 + m3631 	(ENSG00000040933) or (ENSG00000109452)	0	 -0.00	1000.00	  0.00
HMR_6571		m725 + m2722  => m2919 + m3631 	(ENSG00000104331) or (ENSG00000133731) or (ENSG00000141401)	0	 -0.00	1000.00	  0.00
HMR_6572		m2588  => m725 	(ENSG00000105655)	0	 -0.00	1000.00	  0.00
HMR_6573		m1720 + m2273  => m720 + m1606 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_6574		m720 + m1720  => m713 + m1606 	(ENSG00000151151)	0	 -0.00	1000.00	  0.00
HMR_6575		m713 + m1606  <=> m723 + m1720 	(ENSG00000100605)	1	-1000.00	1000.00	  0.00
HMR_6576		m713 + m1720  => m1606 + m3299 	(ENSG00000127080)	0	 -0.00	1000.00	  0.00
HMR_6579		m1720 + m3628  => m746 + m1606 	(ENSG00000107242) or (ENSG00000143398) or (ENSG00000186111)	0	 -0.00	1000.00	  0.00
HMR_6581		m1725 + m3630  => m747 + m1610 	(ENSG00000107242) or (ENSG00000143398) or (ENSG00000186111)	0	 -0.00	1000.00	  0.00
HMR_6583		m746 + m2722  => m3628 + m3631 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
HMR_6585		m747 + m2728  => m3630 + m3637 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
HMR_6587		m746 + m1720  => m748 + m1606 	(ENSG00000078142)	0	 -0.00	1000.00	  0.00
